from$label_from$sent_from$type$to$label_to$sent_to
блокаторы кальциевых каналов$group$блокаторы кальциевых каналов; селективные блокаторы кальциевых каналов с преимущественным действием на сосуды; производные дигидропиридина.$sub_group$селективные блокаторы кальциевых каналов с преимущественным действием на сосуды$group$блокаторы кальциевых каналов; селективные блокаторы кальциевых каналов с преимущественным действием на сосуды; производные дигидропиридина.
селективные блокаторы кальциевых каналов с преимущественным действием на сосуды$group$блокаторы кальциевых каналов; селективные блокаторы кальциевых каналов с преимущественным действием на сосуды; производные дигидропиридина.$sub_group$производные дигидропиридина$group$блокаторы кальциевых каналов; селективные блокаторы кальциевых каналов с преимущественным действием на сосуды; производные дигидропиридина.
Фелодипин$prepare$Препарат Фелодипин показан к применению у взрослых пациентов.$link$показан к применению у взрослых пациентов$action$Препарат Фелодипин показан к применению у взрослых пациентов.
гипотензивными средствами$group$ артериальная гипертензия (в монотерапии или в комбинации с другими гипотензивными средствами, такими как бета-адреноблокаторы, диуретики и ингибиторы ангиотензинпревращающего фермента (АПФ));$sub_group$бета-адреноблокаторы$group$ артериальная гипертензия (в монотерапии или в комбинации с другими гипотензивными средствами, такими как бета-адреноблокаторы, диуретики и ингибиторы ангиотензинпревращающего фермента (АПФ));
гипотензивными средствами$group$ артериальная гипертензия (в монотерапии или в комбинации с другими гипотензивными средствами, такими как бета-адреноблокаторы, диуретики и ингибиторы ангиотензинпревращающего фермента (АПФ));$sub_group$диуретики$group$ артериальная гипертензия (в монотерапии или в комбинации с другими гипотензивными средствами, такими как бета-адреноблокаторы, диуретики и ингибиторы ангиотензинпревращающего фермента (АПФ));
гипотензивными средствами$group$ артериальная гипертензия (в монотерапии или в комбинации с другими гипотензивными средствами, такими как бета-адреноблокаторы, диуретики и ингибиторы ангиотензинпревращающего фермента (АПФ));$sub_group$ингибиторы ангиотензинпревращающего фермента$group$ артериальная гипертензия (в монотерапии или в комбинации с другими гипотензивными средствами, такими как бета-адреноблокаторы, диуретики и ингибиторы ангиотензинпревращающего фермента (АПФ));
Фелодипин$prepare$Фелодипин является субстратом для изофермента СYР3А4.$link$субстратом для изофермента СYР3А4$noun$Фелодипин является субстратом для изофермента СYР3А4.
Фенитоин$prepare$Препараты, индуцирующие систему изоферментов цитохрома Р450 Фенитоин, карбамазепин, фенобарбитал и рифампицин, а также препараты Зверобоя продырявленного усиливают метаболизм фелодипина за счет индукции системы изоферментов цитохрома Р450.$link$Препараты, индуцирующие систему изоферментов цитохрома Р450$group$Препараты, индуцирующие систему изоферментов цитохрома Р450 Фенитоин, карбамазепин, фенобарбитал и рифампицин, а также препараты Зверобоя продырявленного усиливают метаболизм фелодипина за счет индукции системы изоферментов цитохрома Р450.
фенобарбитал$prepare$Препараты, индуцирующие систему изоферментов цитохрома Р450 Фенитоин, карбамазепин, фенобарбитал и рифампицин, а также препараты Зверобоя продырявленного усиливают метаболизм фелодипина за счет индукции системы изоферментов цитохрома Р450.$link$Препараты, индуцирующие систему изоферментов цитохрома Р450$group$Препараты, индуцирующие систему изоферментов цитохрома Р450 Фенитоин, карбамазепин, фенобарбитал и рифампицин, а также препараты Зверобоя продырявленного усиливают метаболизм фелодипина за счет индукции системы изоферментов цитохрома Р450.
рифампицин$prepare$Препараты, индуцирующие систему изоферментов цитохрома Р450 Фенитоин, карбамазепин, фенобарбитал и рифампицин, а также препараты Зверобоя продырявленного усиливают метаболизм фелодипина за счет индукции системы изоферментов цитохрома Р450.$link$Препараты, индуцирующие систему изоферментов цитохрома Р450$group$Препараты, индуцирующие систему изоферментов цитохрома Р450 Фенитоин, карбамазепин, фенобарбитал и рифампицин, а также препараты Зверобоя продырявленного усиливают метаболизм фелодипина за счет индукции системы изоферментов цитохрома Р450.
препараты Зверобоя продырявленного$group$Препараты, индуцирующие систему изоферментов цитохрома Р450 Фенитоин, карбамазепин, фенобарбитал и рифампицин, а также препараты Зверобоя продырявленного усиливают метаболизм фелодипина за счет индукции системы изоферментов цитохрома Р450.$link$Препараты, индуцирующие систему изоферментов цитохрома Р450$group$Препараты, индуцирующие систему изоферментов цитохрома Р450 Фенитоин, карбамазепин, фенобарбитал и рифампицин, а также препараты Зверобоя продырявленного усиливают метаболизм фелодипина за счет индукции системы изоферментов цитохрома Р450.
Препараты, индуцирующие систему изоферментов цитохрома Р450$group$Препараты, индуцирующие систему изоферментов цитохрома Р450 Фенитоин, карбамазепин, фенобарбитал и рифампицин, а также препараты Зверобоя продырявленного усиливают метаболизм фелодипина за счет индукции системы изоферментов цитохрома Р450.$link$усиливают метаболизм$action$Препараты, индуцирующие систему изоферментов цитохрома Р450 Фенитоин, карбамазепин, фенобарбитал и рифампицин, а также препараты Зверобоя продырявленного усиливают метаболизм фелодипина за счет индукции системы изоферментов цитохрома Р450.
усиливают метаболизм$action$Препараты, индуцирующие систему изоферментов цитохрома Р450 Фенитоин, карбамазепин, фенобарбитал и рифампицин, а также препараты Зверобоя продырявленного усиливают метаболизм фелодипина за счет индукции системы изоферментов цитохрома Р450.$link$фелодипина$prepare$Препараты, индуцирующие систему изоферментов цитохрома Р450 Фенитоин, карбамазепин, фенобарбитал и рифампицин, а также препараты Зверобоя продырявленного усиливают метаболизм фелодипина за счет индукции системы изоферментов цитохрома Р450.
усиливают метаболизм$action$Препараты, индуцирующие систему изоферментов цитохрома Р450 Фенитоин, карбамазепин, фенобарбитал и рифампицин, а также препараты Зверобоя продырявленного усиливают метаболизм фелодипина за счет индукции системы изоферментов цитохрома Р450.$link$индукции системы изоферментов цитохрома Р450$action$Препараты, индуцирующие систему изоферментов цитохрома Р450 Фенитоин, карбамазепин, фенобарбитал и рифампицин, а также препараты Зверобоя продырявленного усиливают метаболизм фелодипина за счет индукции системы изоферментов цитохрома Р450.
Фенитоин$prepare$Препараты, индуцирующие систему изоферментов цитохрома Р450 Фенитоин, карбамазепин, фенобарбитал и рифампицин, а также препараты Зверобоя продырявленного усиливают метаболизм фелодипина за счет индукции системы изоферментов цитохрома Р450.$Not_link$усиливают метаболизм$action$Препараты, индуцирующие систему изоферментов цитохрома Р450 Фенитоин, карбамазепин, фенобарбитал и рифампицин, а также препараты Зверобоя продырявленного усиливают метаболизм фелодипина за счет индукции системы изоферментов цитохрома Р450.
Фенитоин$prepare$Препараты, индуцирующие систему изоферментов цитохрома Р450 Фенитоин, карбамазепин, фенобарбитал и рифампицин, а также препараты Зверобоя продырявленного усиливают метаболизм фелодипина за счет индукции системы изоферментов цитохрома Р450.$Not_link$индукции системы изоферментов цитохрома Р450$action$Препараты, индуцирующие систему изоферментов цитохрома Р450 Фенитоин, карбамазепин, фенобарбитал и рифампицин, а также препараты Зверобоя продырявленного усиливают метаболизм фелодипина за счет индукции системы изоферментов цитохрома Р450.
карбамазепин$prepare$Препараты, индуцирующие систему изоферментов цитохрома Р450 Фенитоин, карбамазепин, фенобарбитал и рифампицин, а также препараты Зверобоя продырявленного усиливают метаболизм фелодипина за счет индукции системы изоферментов цитохрома Р450.$Not_link$усиливают метаболизм$action$Препараты, индуцирующие систему изоферментов цитохрома Р450 Фенитоин, карбамазепин, фенобарбитал и рифампицин, а также препараты Зверобоя продырявленного усиливают метаболизм фелодипина за счет индукции системы изоферментов цитохрома Р450.
карбамазепин$prepare$Препараты, индуцирующие систему изоферментов цитохрома Р450 Фенитоин, карбамазепин, фенобарбитал и рифампицин, а также препараты Зверобоя продырявленного усиливают метаболизм фелодипина за счет индукции системы изоферментов цитохрома Р450.$Not_link$индукции системы изоферментов цитохрома Р450$action$Препараты, индуцирующие систему изоферментов цитохрома Р450 Фенитоин, карбамазепин, фенобарбитал и рифампицин, а также препараты Зверобоя продырявленного усиливают метаболизм фелодипина за счет индукции системы изоферментов цитохрома Р450.
фенобарбитал$prepare$Препараты, индуцирующие систему изоферментов цитохрома Р450 Фенитоин, карбамазепин, фенобарбитал и рифампицин, а также препараты Зверобоя продырявленного усиливают метаболизм фелодипина за счет индукции системы изоферментов цитохрома Р450.$Not_link$усиливают метаболизм$action$Препараты, индуцирующие систему изоферментов цитохрома Р450 Фенитоин, карбамазепин, фенобарбитал и рифампицин, а также препараты Зверобоя продырявленного усиливают метаболизм фелодипина за счет индукции системы изоферментов цитохрома Р450.
фенобарбитал$prepare$Препараты, индуцирующие систему изоферментов цитохрома Р450 Фенитоин, карбамазепин, фенобарбитал и рифампицин, а также препараты Зверобоя продырявленного усиливают метаболизм фелодипина за счет индукции системы изоферментов цитохрома Р450.$Not_link$индукции системы изоферментов цитохрома Р450$action$Препараты, индуцирующие систему изоферментов цитохрома Р450 Фенитоин, карбамазепин, фенобарбитал и рифампицин, а также препараты Зверобоя продырявленного усиливают метаболизм фелодипина за счет индукции системы изоферментов цитохрома Р450.
рифампицин$prepare$Препараты, индуцирующие систему изоферментов цитохрома Р450 Фенитоин, карбамазепин, фенобарбитал и рифампицин, а также препараты Зверобоя продырявленного усиливают метаболизм фелодипина за счет индукции системы изоферментов цитохрома Р450.$Not_link$усиливают метаболизм$action$Препараты, индуцирующие систему изоферментов цитохрома Р450 Фенитоин, карбамазепин, фенобарбитал и рифампицин, а также препараты Зверобоя продырявленного усиливают метаболизм фелодипина за счет индукции системы изоферментов цитохрома Р450.
рифампицин$prepare$Препараты, индуцирующие систему изоферментов цитохрома Р450 Фенитоин, карбамазепин, фенобарбитал и рифампицин, а также препараты Зверобоя продырявленного усиливают метаболизм фелодипина за счет индукции системы изоферментов цитохрома Р450.$Not_link$индукции системы изоферментов цитохрома Р450$action$Препараты, индуцирующие систему изоферментов цитохрома Р450 Фенитоин, карбамазепин, фенобарбитал и рифампицин, а также препараты Зверобоя продырявленного усиливают метаболизм фелодипина за счет индукции системы изоферментов цитохрома Р450.
фелодипина$prepare$Препараты, индуцирующие систему изоферментов цитохрома Р450 Фенитоин, карбамазепин, фенобарбитал и рифампицин, а также препараты Зверобоя продырявленного усиливают метаболизм фелодипина за счет индукции системы изоферментов цитохрома Р450.$Not_link$индукции системы изоферментов цитохрома Р450$action$Препараты, индуцирующие систему изоферментов цитохрома Р450 Фенитоин, карбамазепин, фенобарбитал и рифампицин, а также препараты Зверобоя продырявленного усиливают метаболизм фелодипина за счет индукции системы изоферментов цитохрома Р450.
