from$label_from$sent_from$type$to$label_to$sent_to
Вакцина$prepare$Вакцина без содержания консерванта-дети с 6-месячного возраста, подростки, взрослые без ограничения возраста, женщины на II-III триместрах беременности; вакцина с консервантом-взрослые с 18 лет.$Not_link$дети с 6-месячного возраста$condition$Вакцина без содержания консерванта-дети с 6-месячного возраста, подростки, взрослые без ограничения возраста, женщины на II-III триместрах беременности; вакцина с консервантом-взрослые с 18 лет.
Вакцина$prepare$Вакцина без содержания консерванта-дети с 6-месячного возраста, подростки, взрослые без ограничения возраста, женщины на II-III триместрах беременности; вакцина с консервантом-взрослые с 18 лет.$Not_link$подростки$condition$Вакцина без содержания консерванта-дети с 6-месячного возраста, подростки, взрослые без ограничения возраста, женщины на II-III триместрах беременности; вакцина с консервантом-взрослые с 18 лет.
Вакцина$prepare$Вакцина без содержания консерванта-дети с 6-месячного возраста, подростки, взрослые без ограничения возраста, женщины на II-III триместрах беременности; вакцина с консервантом-взрослые с 18 лет.$Not_link$взрослые без ограничения возраста$condition$Вакцина без содержания консерванта-дети с 6-месячного возраста, подростки, взрослые без ограничения возраста, женщины на II-III триместрах беременности; вакцина с консервантом-взрослые с 18 лет.
Вакцина$prepare$Вакцина без содержания консерванта-дети с 6-месячного возраста, подростки, взрослые без ограничения возраста, женщины на II-III триместрах беременности; вакцина с консервантом-взрослые с 18 лет.$Not_link$II-III триместрах беременности$condition$Вакцина без содержания консерванта-дети с 6-месячного возраста, подростки, взрослые без ограничения возраста, женщины на II-III триместрах беременности; вакцина с консервантом-взрослые с 18 лет.
Вакцина$prepare$Вакцина без содержания консерванта-дети с 6-месячного возраста, подростки, взрослые без ограничения возраста, женщины на II-III триместрах беременности; вакцина с консервантом-взрослые с 18 лет.$Not_link$взрослые с 18 лет$condition$Вакцина без содержания консерванта-дети с 6-месячного возраста, подростки, взрослые без ограничения возраста, женщины на II-III триместрах беременности; вакцина с консервантом-взрослые с 18 лет.
аллергические реакции на предшествующие прививки гриппозными вакцинами$noun$- аллергические реакции на предшествующие прививки гриппозными вакцинами;-аллергические реакции на куриный белок и компоненты вакцины;-сильная реакция (температура выше 40 ºС, отек и гиперемия в месте введения свыше 8 см в диаметре) или поствакцинальное осложнение на предыдущее введение вакцин для профилактики гриппа;-острые инфекционные или неинфекционные заболевания, обострение хронических заболеваний – прививки проводят через 2-4 недели после выздоровления или в период реконвалесценции или ремиссии.$Not_link$аллергические реакции на куриный белок и компоненты вакцины$noun$- аллергические реакции на предшествующие прививки гриппозными вакцинами;-аллергические реакции на куриный белок и компоненты вакцины;-сильная реакция (температура выше 40 ºС, отек и гиперемия в месте введения свыше 8 см в диаметре) или поствакцинальное осложнение на предыдущее введение вакцин для профилактики гриппа;-острые инфекционные или неинфекционные заболевания, обострение хронических заболеваний – прививки проводят через 2-4 недели после выздоровления или в период реконвалесценции или ремиссии.
аллергические реакции на предшествующие прививки гриппозными вакцинами$noun$- аллергические реакции на предшествующие прививки гриппозными вакцинами;-аллергические реакции на куриный белок и компоненты вакцины;-сильная реакция (температура выше 40 ºС, отек и гиперемия в месте введения свыше 8 см в диаметре) или поствакцинальное осложнение на предыдущее введение вакцин для профилактики гриппа;-острые инфекционные или неинфекционные заболевания, обострение хронических заболеваний – прививки проводят через 2-4 недели после выздоровления или в период реконвалесценции или ремиссии.$Not_link$сильная реакция (температура выше 40 ºС, отек и гиперемия в месте введения свыше 8 см в диаметре)$noun$- аллергические реакции на предшествующие прививки гриппозными вакцинами;-аллергические реакции на куриный белок и компоненты вакцины;-сильная реакция (температура выше 40 ºС, отек и гиперемия в месте введения свыше 8 см в диаметре) или поствакцинальное осложнение на предыдущее введение вакцин для профилактики гриппа;-острые инфекционные или неинфекционные заболевания, обострение хронических заболеваний – прививки проводят через 2-4 недели после выздоровления или в период реконвалесценции или ремиссии.
аллергические реакции на предшествующие прививки гриппозными вакцинами$noun$- аллергические реакции на предшествующие прививки гриппозными вакцинами;-аллергические реакции на куриный белок и компоненты вакцины;-сильная реакция (температура выше 40 ºС, отек и гиперемия в месте введения свыше 8 см в диаметре) или поствакцинальное осложнение на предыдущее введение вакцин для профилактики гриппа;-острые инфекционные или неинфекционные заболевания, обострение хронических заболеваний – прививки проводят через 2-4 недели после выздоровления или в период реконвалесценции или ремиссии.$Not_link$поствакцинальное осложнение на предыдущее введение вакцин для профилактики гриппа$noun$- аллергические реакции на предшествующие прививки гриппозными вакцинами;-аллергические реакции на куриный белок и компоненты вакцины;-сильная реакция (температура выше 40 ºС, отек и гиперемия в месте введения свыше 8 см в диаметре) или поствакцинальное осложнение на предыдущее введение вакцин для профилактики гриппа;-острые инфекционные или неинфекционные заболевания, обострение хронических заболеваний – прививки проводят через 2-4 недели после выздоровления или в период реконвалесценции или ремиссии.
аллергические реакции на предшествующие прививки гриппозными вакцинами$noun$- аллергические реакции на предшествующие прививки гриппозными вакцинами;-аллергические реакции на куриный белок и компоненты вакцины;-сильная реакция (температура выше 40 ºС, отек и гиперемия в месте введения свыше 8 см в диаметре) или поствакцинальное осложнение на предыдущее введение вакцин для профилактики гриппа;-острые инфекционные или неинфекционные заболевания, обострение хронических заболеваний – прививки проводят через 2-4 недели после выздоровления или в период реконвалесценции или ремиссии.$Not_link$острые инфекционные или неинфекционные заболевания$noun$- аллергические реакции на предшествующие прививки гриппозными вакцинами;-аллергические реакции на куриный белок и компоненты вакцины;-сильная реакция (температура выше 40 ºС, отек и гиперемия в месте введения свыше 8 см в диаметре) или поствакцинальное осложнение на предыдущее введение вакцин для профилактики гриппа;-острые инфекционные или неинфекционные заболевания, обострение хронических заболеваний – прививки проводят через 2-4 недели после выздоровления или в период реконвалесценции или ремиссии.
аллергические реакции на предшествующие прививки гриппозными вакцинами$noun$- аллергические реакции на предшествующие прививки гриппозными вакцинами;-аллергические реакции на куриный белок и компоненты вакцины;-сильная реакция (температура выше 40 ºС, отек и гиперемия в месте введения свыше 8 см в диаметре) или поствакцинальное осложнение на предыдущее введение вакцин для профилактики гриппа;-острые инфекционные или неинфекционные заболевания, обострение хронических заболеваний – прививки проводят через 2-4 недели после выздоровления или в период реконвалесценции или ремиссии.$Not_link$обострение хронических заболеваний$noun$- аллергические реакции на предшествующие прививки гриппозными вакцинами;-аллергические реакции на куриный белок и компоненты вакцины;-сильная реакция (температура выше 40 ºС, отек и гиперемия в месте введения свыше 8 см в диаметре) или поствакцинальное осложнение на предыдущее введение вакцин для профилактики гриппа;-острые инфекционные или неинфекционные заболевания, обострение хронических заболеваний – прививки проводят через 2-4 недели после выздоровления или в период реконвалесценции или ремиссии.
аллергические реакции на куриный белок и компоненты вакцины$noun$- аллергические реакции на предшествующие прививки гриппозными вакцинами;-аллергические реакции на куриный белок и компоненты вакцины;-сильная реакция (температура выше 40 ºС, отек и гиперемия в месте введения свыше 8 см в диаметре) или поствакцинальное осложнение на предыдущее введение вакцин для профилактики гриппа;-острые инфекционные или неинфекционные заболевания, обострение хронических заболеваний – прививки проводят через 2-4 недели после выздоровления или в период реконвалесценции или ремиссии.$Not_link$сильная реакция (температура выше 40 ºС, отек и гиперемия в месте введения свыше 8 см в диаметре)$noun$- аллергические реакции на предшествующие прививки гриппозными вакцинами;-аллергические реакции на куриный белок и компоненты вакцины;-сильная реакция (температура выше 40 ºС, отек и гиперемия в месте введения свыше 8 см в диаметре) или поствакцинальное осложнение на предыдущее введение вакцин для профилактики гриппа;-острые инфекционные или неинфекционные заболевания, обострение хронических заболеваний – прививки проводят через 2-4 недели после выздоровления или в период реконвалесценции или ремиссии.
аллергические реакции на куриный белок и компоненты вакцины$noun$- аллергические реакции на предшествующие прививки гриппозными вакцинами;-аллергические реакции на куриный белок и компоненты вакцины;-сильная реакция (температура выше 40 ºС, отек и гиперемия в месте введения свыше 8 см в диаметре) или поствакцинальное осложнение на предыдущее введение вакцин для профилактики гриппа;-острые инфекционные или неинфекционные заболевания, обострение хронических заболеваний – прививки проводят через 2-4 недели после выздоровления или в период реконвалесценции или ремиссии.$Not_link$поствакцинальное осложнение на предыдущее введение вакцин для профилактики гриппа$noun$- аллергические реакции на предшествующие прививки гриппозными вакцинами;-аллергические реакции на куриный белок и компоненты вакцины;-сильная реакция (температура выше 40 ºС, отек и гиперемия в месте введения свыше 8 см в диаметре) или поствакцинальное осложнение на предыдущее введение вакцин для профилактики гриппа;-острые инфекционные или неинфекционные заболевания, обострение хронических заболеваний – прививки проводят через 2-4 недели после выздоровления или в период реконвалесценции или ремиссии.
аллергические реакции на куриный белок и компоненты вакцины$noun$- аллергические реакции на предшествующие прививки гриппозными вакцинами;-аллергические реакции на куриный белок и компоненты вакцины;-сильная реакция (температура выше 40 ºС, отек и гиперемия в месте введения свыше 8 см в диаметре) или поствакцинальное осложнение на предыдущее введение вакцин для профилактики гриппа;-острые инфекционные или неинфекционные заболевания, обострение хронических заболеваний – прививки проводят через 2-4 недели после выздоровления или в период реконвалесценции или ремиссии.$Not_link$острые инфекционные или неинфекционные заболевания$noun$- аллергические реакции на предшествующие прививки гриппозными вакцинами;-аллергические реакции на куриный белок и компоненты вакцины;-сильная реакция (температура выше 40 ºС, отек и гиперемия в месте введения свыше 8 см в диаметре) или поствакцинальное осложнение на предыдущее введение вакцин для профилактики гриппа;-острые инфекционные или неинфекционные заболевания, обострение хронических заболеваний – прививки проводят через 2-4 недели после выздоровления или в период реконвалесценции или ремиссии.
аллергические реакции на куриный белок и компоненты вакцины$noun$- аллергические реакции на предшествующие прививки гриппозными вакцинами;-аллергические реакции на куриный белок и компоненты вакцины;-сильная реакция (температура выше 40 ºС, отек и гиперемия в месте введения свыше 8 см в диаметре) или поствакцинальное осложнение на предыдущее введение вакцин для профилактики гриппа;-острые инфекционные или неинфекционные заболевания, обострение хронических заболеваний – прививки проводят через 2-4 недели после выздоровления или в период реконвалесценции или ремиссии.$Not_link$обострение хронических заболеваний$noun$- аллергические реакции на предшествующие прививки гриппозными вакцинами;-аллергические реакции на куриный белок и компоненты вакцины;-сильная реакция (температура выше 40 ºС, отек и гиперемия в месте введения свыше 8 см в диаметре) или поствакцинальное осложнение на предыдущее введение вакцин для профилактики гриппа;-острые инфекционные или неинфекционные заболевания, обострение хронических заболеваний – прививки проводят через 2-4 недели после выздоровления или в период реконвалесценции или ремиссии.
сильная реакция (температура выше 40 ºС, отек и гиперемия в месте введения свыше 8 см в диаметре)$noun$- аллергические реакции на предшествующие прививки гриппозными вакцинами;-аллергические реакции на куриный белок и компоненты вакцины;-сильная реакция (температура выше 40 ºС, отек и гиперемия в месте введения свыше 8 см в диаметре) или поствакцинальное осложнение на предыдущее введение вакцин для профилактики гриппа;-острые инфекционные или неинфекционные заболевания, обострение хронических заболеваний – прививки проводят через 2-4 недели после выздоровления или в период реконвалесценции или ремиссии.$Not_link$поствакцинальное осложнение на предыдущее введение вакцин для профилактики гриппа$noun$- аллергические реакции на предшествующие прививки гриппозными вакцинами;-аллергические реакции на куриный белок и компоненты вакцины;-сильная реакция (температура выше 40 ºС, отек и гиперемия в месте введения свыше 8 см в диаметре) или поствакцинальное осложнение на предыдущее введение вакцин для профилактики гриппа;-острые инфекционные или неинфекционные заболевания, обострение хронических заболеваний – прививки проводят через 2-4 недели после выздоровления или в период реконвалесценции или ремиссии.
